,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,内蒙古自治区,150000,锡林郭勒盟,152500,4.016113887252055
1,2002,内蒙古自治区,150000,锡林郭勒盟,152500,4.410858784524916
2,2003,内蒙古自治区,150000,锡林郭勒盟,152500,3.6320586141853775
3,2004,内蒙古自治区,150000,锡林郭勒盟,152500,4.472823226263118
4,2005,内蒙古自治区,150000,锡林郭勒盟,152500,3.526377358585337
5,2006,内蒙古自治区,150000,锡林郭勒盟,152500,4.00899361390204
6,2007,内蒙古自治区,150000,锡林郭勒盟,152500,5.052364218155355
7,2008,内蒙古自治区,150000,锡林郭勒盟,152500,4.220975969922324
8,2009,内蒙古自治区,150000,锡林郭勒盟,152500,3.899488860136292
9,2010,内蒙古自治区,150000,锡林郭勒盟,152500,3.1949987963687327
10,2011,内蒙古自治区,150000,锡林郭勒盟,152500,3.308070698290497
11,2012,内蒙古自治区,150000,锡林郭勒盟,152500,2.2511018145455868
12,2013,内蒙古自治区,150000,锡林郭勒盟,152500,3.608169904372884
13,2014,内蒙古自治区,150000,锡林郭勒盟,152500,4.927821483807694
14,2015,内蒙古自治区,150000,锡林郭勒盟,152500,4.379225150443271
15,2016,内蒙古自治区,150000,锡林郭勒盟,152500,3.9380255113688554
16,2017,内蒙古自治区,150000,锡林郭勒盟,152500,4.802253067121375
17,2018,内蒙古自治区,150000,锡林郭勒盟,152500,4.432820815112811
18,2019,内蒙古自治区,150000,锡林郭勒盟,152500,4.71292499373624
19,2020,内蒙古自治区,150000,锡林郭勒盟,152500,3.89759759478733
20,2021,内蒙古自治区,150000,锡林郭勒盟,152500,4.345841845145215
21,2022,内蒙古自治区,150000,锡林郭勒盟,152500,1.068807945271886
