,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,江苏省,320000,镇江市,321100,16.268543982706458
1,2002,江苏省,320000,镇江市,321100,16.528845095912775
2,2003,江苏省,320000,镇江市,321100,15.99280316086944
3,2004,江苏省,320000,镇江市,321100,16.672477280613684
4,2005,江苏省,320000,镇江市,321100,16.185661072399963
5,2006,江苏省,320000,镇江市,321100,16.769650448156455
6,2007,江苏省,320000,镇江市,321100,16.969856118892018
7,2008,江苏省,320000,镇江市,321100,16.076038640652545
8,2009,江苏省,320000,镇江市,321100,16.34767325704321
9,2010,江苏省,320000,镇江市,321100,16.128132421149942
10,2011,江苏省,320000,镇江市,321100,15.891719966202425
11,2012,江苏省,320000,镇江市,321100,15.90155168127948
12,2013,江苏省,320000,镇江市,321100,16.635984717904776
13,2014,江苏省,320000,镇江市,321100,16.288187261591673
14,2015,江苏省,320000,镇江市,321100,16.243018239911112
15,2016,江苏省,320000,镇江市,321100,16.717357643858687
16,2017,江苏省,320000,镇江市,321100,16.890795454396393
17,2018,江苏省,320000,镇江市,321100,16.87385524388075
18,2019,江苏省,320000,镇江市,321100,16.808066484412233
19,2020,江苏省,320000,镇江市,321100,16.906591884617267
20,2021,江苏省,320000,镇江市,321100,17.33991457900121
21,2022,江苏省,320000,镇江市,321100,14.561323197890294
