,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,安徽省,340000,阜阳市,341200,15.840947050910286
1,2002,安徽省,340000,阜阳市,341200,16.128417357180897
2,2003,安徽省,340000,阜阳市,341200,15.076156151946684
3,2004,安徽省,340000,阜阳市,341200,16.15539874261003
4,2005,安徽省,340000,阜阳市,341200,15.5773740358351
5,2006,安徽省,340000,阜阳市,341200,16.31162403761458
6,2007,安徽省,340000,阜阳市,341200,16.288994979432694
7,2008,安徽省,340000,阜阳市,341200,15.408990568145535
8,2009,安徽省,340000,阜阳市,341200,15.572581190718594
9,2010,安徽省,340000,阜阳市,341200,15.702491414584058
10,2011,安徽省,340000,阜阳市,341200,15.29477564306915
11,2012,安徽省,340000,阜阳市,341200,15.48149914547632
12,2013,安徽省,340000,阜阳市,341200,16.156780231941394
13,2014,安徽省,340000,阜阳市,341200,15.900636335086444
14,2015,安徽省,340000,阜阳市,341200,15.695784215644666
15,2016,安徽省,340000,阜阳市,341200,16.174383331884517
16,2017,安徽省,340000,阜阳市,341200,16.440883832101516
17,2018,安徽省,340000,阜阳市,341200,16.406392472668745
18,2019,安徽省,340000,阜阳市,341200,16.711851327753532
19,2020,安徽省,340000,阜阳市,341200,16.647530234441113
20,2021,安徽省,340000,阜阳市,341200,16.95117438280841
21,2022,安徽省,340000,阜阳市,341200,14.972706749476572
