,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,广东省,440000,阳江市,441700,23.18621467434796
1,2002,广东省,440000,阳江市,441700,23.39443322490618
2,2003,广东省,440000,阳江市,441700,23.63017866013969
3,2004,广东省,440000,阳江市,441700,22.815580242002422
4,2005,广东省,440000,阳江市,441700,22.559973633106196
5,2006,广东省,440000,阳江市,441700,23.110555388893133
6,2007,广东省,440000,阳江市,441700,23.04343452203297
7,2008,广东省,440000,阳江市,441700,22.210738925409657
8,2009,广东省,440000,阳江市,441700,22.89920348776664
9,2010,广东省,440000,阳江市,441700,22.696073557183755
10,2011,广东省,440000,阳江市,441700,22.18213827771445
11,2012,广东省,440000,阳江市,441700,22.55499068173023
12,2013,广东省,440000,阳江市,441700,22.69095816956262
13,2014,广东省,440000,阳江市,441700,22.78945847976376
14,2015,广东省,440000,阳江市,441700,23.451412706712613
15,2016,广东省,440000,阳江市,441700,23.05129057870678
16,2017,广东省,440000,阳江市,441700,23.12654680148768
17,2018,广东省,440000,阳江市,441700,22.989350069879407
18,2019,广东省,440000,阳江市,441700,23.856233731753107
19,2020,广东省,440000,阳江市,441700,23.57489493079689
20,2021,广东省,440000,阳江市,441700,23.756923415160145
21,2022,广东省,440000,阳江市,441700,21.17451254401328
