,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,湖北省,420000,黄石市,420200,16.654295547433193
1,2002,湖北省,420000,黄石市,420200,16.749830537152857
2,2003,湖北省,420000,黄石市,420200,16.48638525826099
3,2004,湖北省,420000,黄石市,420200,16.968029019003648
4,2005,湖北省,420000,黄石市,420200,16.540545249459324
5,2006,湖北省,420000,黄石市,420200,17.03877047045751
6,2007,湖北省,420000,黄石市,420200,17.25974269204716
7,2008,湖北省,420000,黄石市,420200,16.550834025010392
8,2009,湖北省,420000,黄石市,420200,16.830818858059754
9,2010,湖北省,420000,黄石市,420200,16.478969223559243
10,2011,湖北省,420000,黄石市,420200,16.261294469875676
11,2012,湖北省,420000,黄石市,420200,16.079562237582305
12,2013,湖北省,420000,黄石市,420200,17.115172496606764
13,2014,湖北省,420000,黄石市,420200,16.660394622704146
14,2015,湖北省,420000,黄石市,420200,16.697880700635995
15,2016,湖北省,420000,黄石市,420200,17.032126447156887
16,2017,湖北省,420000,黄石市,420200,17.095332908750283
17,2018,湖北省,420000,黄石市,420200,17.105229144951835
18,2019,湖北省,420000,黄石市,420200,17.128531450430085
19,2020,湖北省,420000,黄石市,420200,17.044194972841275
20,2021,湖北省,420000,黄石市,420200,17.617408733744185
21,2022,湖北省,420000,黄石市,420200,14.708859304272735
