,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,黑龙江省,230000,齐齐哈尔市,230200,3.217307353430735
1,2002,黑龙江省,230000,齐齐哈尔市,230200,3.692329076943561
2,2003,黑龙江省,230000,齐齐哈尔市,230200,4.114613642575008
3,2004,黑龙江省,230000,齐齐哈尔市,230200,3.953800753833718
4,2005,黑龙江省,230000,齐齐哈尔市,230200,3.146014767279903
5,2006,黑龙江省,230000,齐齐哈尔市,230200,3.003165955894995
6,2007,黑龙江省,230000,齐齐哈尔市,230200,4.848595178715498
7,2008,黑龙江省,230000,齐齐哈尔市,230200,4.44075484745085
8,2009,黑龙江省,230000,齐齐哈尔市,230200,2.749443631788919
9,2010,黑龙江省,230000,齐齐哈尔市,230200,2.5405396268583447
10,2011,黑龙江省,230000,齐齐哈尔市,230200,3.2813233218383755
11,2012,黑龙江省,230000,齐齐哈尔市,230200,2.4646235211308576
12,2013,黑龙江省,230000,齐齐哈尔市,230200,2.686118719397325
13,2014,黑龙江省,230000,齐齐哈尔市,230200,3.694486587984359
14,2015,黑龙江省,230000,齐齐哈尔市,230200,4.125461069948134
15,2016,黑龙江省,230000,齐齐哈尔市,230200,3.1085178685765213
16,2017,黑龙江省,230000,齐齐哈尔市,230200,3.8692441641641167
17,2018,黑龙江省,230000,齐齐哈尔市,230200,3.883251620437034
18,2019,黑龙江省,230000,齐齐哈尔市,230200,4.407119756610222
19,2020,黑龙江省,230000,齐齐哈尔市,230200,4.101143699414849
20,2021,黑龙江省,230000,齐齐哈尔市,230200,3.8588983190332833
21,2022,黑龙江省,230000,齐齐哈尔市,230200,0.6800936168330208
