depen_var,factor,corr,sig
resi_all_abs,num_positive,-0.382407283,0.001531205
resi_all_abs,season,-0.576338351,3.33E-07
resi_all_abs,gdp-2,0.298858054,0.014023908
resi_all_abs,oil_consumption,0.338922661,0.012177083
resi_all_abs,industry_resi_all_abs,0.456317849,0.000104029
resi_all_abs,industry_resi_in_abs,0.376038954,0.001712387
resi_all_abs,industry_resi_after_abs,0.333127121,0.005876337
resi_all_abs,industry_extreme,0.453268278,0.000117245
resi_in_abs,num_positive,-0.434310645,0.000268916
resi_in_abs,season,-0.570264644,4.71E-07
resi_in_abs,energy_consumption,0.333752425,0.00658829
resi_in_abs,electri_consump_resi,0.298334492,0.014971883
resi_in_abs,electri_consump_indus,0.314227565,0.010185647
resi_in_abs,coal_consump,0.341382093,0.007598232
,,,
resi_in_abs,industry_resi_all_abs,0.466008181,7.06E-05
resi_in_abs,industry_resi_in_abs,0.373901244,0.001828223
resi_in_abs,industry_extreme,0.46184162,8.35E-05
resi_after_abs,season,-0.411292301,0.000545036
resi_after_abs,gas_consumption,0.324448784,0.010740806
,,,
resi_after_abs,industry_resi_all_abs,0.38406896,0.001333845
resi_after_abs,industry_resi_in_abs,0.303425157,0.012558416
resi_after_abs,industry_resi_after_abs,0.425789201,0.000327846
resi_after_abs,industry_extreme,0.371289747,0.001979244
,,,
extreme,season,-0.382674404,0.001393618
extreme,industry_resi_all_abs,0.313063086,0.009894294
extreme,industry_resi_in_abs,0.307864227,0.011262841
extreme,industry_extreme,0.394089358,0.00096794
