,unit_weights
Gansu,0.05932862968850855
Guangdong,3.3932052701708684e-10
Hainan,9.072362260103543e-11
Heilongjiang,0.13428597320351476
Hubei,1.8566256012121395e-10
Jiangxi,5.343409105230515e-10
Jilin,0.017339999617798214
Liaoning,4.5438098422358153e-10
Ningxia,2.3770562007367975e-10
Qinghai,0.08210977994826753
Shanxi,0.019607694270041227
Xinjiang,6.447845934957219e-10
Yunnan,0.0029496629436950657
Chengdu 1,2.50892166152199e-10
Shijiazhuang 1,5.936965549919452e-10
Guangzhou 2,3.4117148169175454e-10
Hangzhou,0.03645865804458943
Hangzhou 1,0.03645865804458943
Taiyuan,0.019607161775048714
Nanjing 1,1.1557436004924222e-09
Xining,0.08210898010016386
Haerbin 1,0.13428497299048953
Jinan,3.7248827606779456e-09
Haerbin,0.13428497299048953
Beijing 1,0.07892223565639545
Guangzhou,3.4117148169175454e-10
Guangzhou 1,3.411714816917562e-10
Tianjin 1,1.9352310373252786e-09
Huhehaote,2.3424987584151183e-10
Huhehaote 1,2.342498758415128e-10
Shijiazhuang,5.936965549919658e-10
Shenzhen,3.4204095049059315e-10
Shenzhen 1,3.4204095049059315e-10
Xian,0.008977930708423176
Chengdu,2.50892166152199e-10
Anyang,0.0029157037470611915
Langfang,5.928800927473291e-10
Quanzhou,5.283290647312716e-10
Nanchang,5.323529075357441e-10
Tangshan,5.943177857942921e-10
Guangan,2.450422548990934e-10
Suuzhou,0.02337642955561133
Beihai,4.952798780227438e-10
Guiyang,0.04739598831856903
Qingdao,3.7250923742021863e-09
Wulumuqi,6.402933462009732e-10
Dalian,4.5404507944601766e-10
Jilin 1,0.017339999617798207
Zhengzhou,0.0029179153488668955
Nanjing,1.155743600492416e-09
Gansu 1,0.05932862968850855
Dalian 1,4.5406260044142006e-10
Suzhou,1.156299511041512e-09
