,unit_weights
Anhui,0.01135795650009139
Beijing,0.007410471208967492
Chongqing,0.009677190904930686
Fujian,0.006121746368969617
Gansu,0.016022676169685494
Guangdong,0.015320587228067272
Guangxi,0.004280371737085412
Guizhou,0.006534535215083336
Hainan,0.006499758178704231
Hebei,0.00937072423953769
Heilongjiang,0.01948349401087501
Henan,0.014853174192854743
Hubei,0.015147197275878242
Hunan,0.013803622937445857
Inner Mongolia,0.014696406295798216
Jiangsu,0.012919804004518564
Jiangxi,0.015120807037628742
Jilin,0.014888084473648353
Liaoning,0.009961959754145253
Ningxia,0.007533387868259095
Qinghai,0.016592277105494647
Shaanxi,0.017304682081099046
Shandong,0.00990817314508571
Shanghai,0.007661279591840597
Shanxi,0.015084105573564438
Sichuan,0.014713692668692277
Tianjin,0.009602433628440118
Xinjiang,0.020124935626018765
Yunnan,0.0075133020116783635
Chengdu 1,0.014713688895715112
Guangzhou 2,0.015320588163691437
Hangzhou,0.02416592751333299
Hangzhou 1,0.02416592751333299
Taiyuan,0.015084075222930128
Nanjing 1,0.012919759581066831
Xining,0.016592325736381305
Haerbin 1,0.0194835029299208
Jinan,0.00990810850584427
Wuhan 1,0.015147202219226975
Haerbin,0.0194835029299208
Beijing 1,0.007410471208967492
Guangzhou,0.015320588163691433
Guangzhou 1,0.015320588163691433
Tianjin 1,0.009602433628440118
Tianjin 2,0.009602433628440118
Huhehaote,0.014696415386712519
Huhehaote 1,0.014696415386712519
Shenzhen,0.01532059415378309
Shenzhen 1,0.015320594153783096
Xian,0.0173046705339068
Chengdu,0.014713688895715112
Anyang,0.014853258283680061
Langfang,0.009370663470987913
Quanzhou,0.006121719915380568
Nanchang,0.015120791572822983
Tangshan,0.009370714768718804
Guangan,0.014713780859677747
Suuzhou,0.0113580798529181
Beihai,0.004280416968328287
Guiyang,0.006534500573169759
Qingdao,0.009908114070584636
Wuhan,0.015147202219226975
Hunan 1,0.013803622937445852
Tianjin 3,0.009602433628440118
Chongqing 1,0.009677190904930686
Fujian 1,0.006121758951626146
Heilongjiang 1,0.019483506310165474
Heilongjiang 2,0.01948350631016547
Beijing 2,0.00741047120896749
Wulumuqi,0.02012491991695773
Dalian,0.00996194988311039
Shanghai 1,0.007661279591840597
Beijing 3,0.007410471208967492
Zhengzhou,0.014853147692510513
Nanjing,0.012919759581066831
Gansu 1,0.016022676169685494
Dalian 1,0.00996195033623581
Suzhou,0.012919773263082662
