,unit_weights
Gansu,0.009258964389383242
Guangdong,1.2436864679658807e-10
Hainan,1.2250995617960456e-10
Hubei,1.9309330749462277e-11
Jiangxi,7.618318282057802e-11
Jilin,0.019223835102778187
Liaoning,0.03053175045552685
Ningxia,0.0760894084888277
Qinghai,3.6459707398245743e-10
Shanxi,6.511962625922634e-11
Xinjiang,4.92629718987735e-10
Yunnan,0.10290417814375123
Chengdu 1,0.019580055380325107
Shijiazhuang 1,8.895296754763596e-10
Guangzhou 2,1.2456737375692218e-10
Hangzhou,1.1620607448821968e-10
Hangzhou 1,1.1620607448821924e-10
Taiyuan,6.481596575685314e-11
Nanjing 1,4.224437803943031e-10
Xining,3.6435954190524427e-10
Haerbin 1,3.787405028459693e-11
Jinan,0.1264349137866546
Wuhan 1,1.9343306677898468e-11
Haerbin,3.787405028459681e-11
Beijing 1,0.0473020259470956
Guangzhou,1.2456737375692218e-10
Guangzhou 1,1.2456737375692262e-10
Tianjin 1,0.1099756653233315
Huhehaote,9.033601149623233e-11
Huhehaote 1,9.033601149622446e-11
Shijiazhuang,8.895296754763691e-10
Shenzhen,1.2467741121859818e-10
Shenzhen 1,1.246774112185986e-10
Xian,0.0382367123366461
Chengdu,0.019580055380325107
Anyang,6.345133492400579e-11
Langfang,8.893989029411066e-10
Quanzhou,0.05525209983094653
Nanchang,7.591467378411281e-11
Tangshan,8.896432066722006e-10
Guangan,0.01958052082502982
Suuzhou,0.007595419843529674
Beihai,3.858602598325448e-11
Guiyang,0.10247315112455835
Qingdao,0.12643492394822214
Wulumuqi,4.921995174609894e-10
Dalian,0.030531756063495095
Jilin 1,0.01922383510277818
Zhengzhou,6.403066846392363e-11
Nanjing,4.224437803943031e-10
Gansu 1,0.009258964389383242
Dalian 1,0.030531755752385384
Suzhou,4.2256126509715623e-10
