date,time_weights
2019-10-22,0.001923987540251253
2019-10-23,0.015956819822996078
2019-10-24,0.030715946433902304
2019-10-25,1.1858586677574465e-09
2019-10-26,0.012000572814852263
2019-10-27,0.021812131982728113
2019-10-28,0.05364786890205203
2019-10-29,0.016203810837892425
2019-10-30,0.043093523321985606
2019-10-31,5.931988429433576e-10
2019-11-01,-4.7806301671559494e-05
2019-11-02,-4.781279571979438e-05
2019-11-03,-4.756568215010797e-05
2019-11-04,-4.7375088522564577e-05
2019-11-05,-4.7334629508956265e-05
2019-11-06,-4.6288391904258376e-05
2019-11-07,-4.5995037902183924e-05
2019-11-08,-4.616728786600306e-05
2019-11-09,-4.570330243358917e-05
2019-11-10,-4.646393754290172e-05
2019-11-11,-4.674679290190407e-05
2019-11-12,-4.586127445398964e-05
2019-11-13,-4.537285450301489e-05
2019-11-14,-4.526521915527336e-05
2019-11-15,-4.55819386869522e-05
2019-11-16,-4.572363507950319e-05
2019-11-17,-4.556732876657642e-05
2019-11-18,-4.5759239662987284e-05
2019-11-19,-4.516215858608113e-05
2019-11-20,-4.48076034643731e-05
2019-11-21,-4.42529187359569e-05
2019-11-22,-4.3927020950017825e-05
2019-11-23,-4.3747722195913254e-05
2019-11-24,-4.390902766132106e-05
2019-11-25,-4.439332239996981e-05
2019-11-26,-4.382195290909608e-05
2019-11-27,-4.336285058694897e-05
2019-11-28,-4.31503034464182e-05
2019-11-29,-4.317083575212141e-05
2019-11-30,-4.333758658150997e-05
2019-12-01,5.309412882651726e-07
2019-12-02,5.384760415669345e-07
2019-12-03,5.413791394882595e-07
2019-12-04,5.390229735907082e-07
2019-12-05,5.352482290716268e-07
2019-12-06,5.299403364184841e-07
2019-12-07,5.276707923018207e-07
2019-12-08,5.269510650565197e-07
2019-12-09,5.303840479653275e-07
2019-12-10,5.209179090785273e-07
2019-12-11,5.234062398019754e-07
2019-12-12,5.245630651657303e-07
2019-12-13,5.213319403086685e-07
2019-12-14,5.170774213411315e-07
2019-12-15,5.189908671732027e-07
2019-12-16,5.245200032350148e-07
2019-12-17,5.186532894929194e-07
2019-12-18,5.212308864825499e-07
2019-12-19,5.117631117247526e-07
2019-12-20,5.065753019592166e-07
2019-12-21,5.1069681868839e-07
2019-12-22,5.101913878509615e-07
2019-12-23,5.116704977289652e-07
2019-12-24,5.115618695177825e-07
2019-12-25,5.08711463719405e-07
2019-12-26,5.080402101850052e-07
2019-12-27,5.089814262876601e-07
2019-12-28,5.110982722737733e-07
2019-12-29,5.172357737263143e-07
2019-12-30,0.00477218052425979
2019-12-31,0.017930154679041726
2020-01-01,0.08629098790618137
2020-01-02,0.05184931457564668
2020-01-03,0.02495557174899088
2020-01-04,0.03864894393107562
2020-01-05,0.04055503839918831
2020-01-06,0.04055503839918831
2020-01-07,0.008538741132273864
2020-01-08,0.03786171172219322
2020-01-09,0.05814000910415776
2020-01-10,0.02465298385037522
2020-01-11,0.06276864295465572
2020-01-12,0.022037835780180037
2020-01-13,0.0379926859625548
2020-01-14,0.024639378192575865
2020-01-15,0.038167055354738855
2020-01-16,0.016655805002361978
2020-01-17,0.014639875589040173
2020-01-18,0.021408923472300636
2020-01-19,0.020384172420882397
2020-01-20,0.05602229747839673
2020-01-21,0.05652448154108636
