city,lng,lat,resi_all_abs,resi_in_abs,resi_after_abs,extreme,inte_resi
Anhui,114.54-119.37,29.41-34.38,0.901,0.963,0.371,0.804,0.8525
Beijing,116.2,39.56,0.66575,0.58925,0.645,0.559,0.612375
Chengdu,104.07,30.67,0.6235,0.523,0.32,0.5025,0.563
Chongqing,106.45,29.57,0.821,0.8465,0.367,0.7465,0.78375
Dalian,120.27,38.55,0.8385,0.793,0.5985,0.735,0.78675
Fujian,115.5-120.4,23.33-28.2,0.8475,0.91,0.552,0.6505,0.749
Gansu,92.13-108.46,32.11-42.57,0.7285,0.713,0.541,0.611,0.66975
Guangxi,104.28-112.04,20.54-26.23,0.886,0.948,0.424,0.706,0.796
Guangzhou,113.25,23.13,0.667,0.618333333,0.522666667,0.457666667,0.562333334
Guiyang,106.07-107.17,26.11-27.22,0.223,0.148,0.084,0.359,0.291
Guizhou,103.36-109.35,24.37-29.13,0.831,0.91,0.366,0.691,0.761
Haerbin,125.42-130.10,44.04-46.40,0.715,0.6785,0.4035,0.708,0.7115
Hainan,108.37-111.03,18.10-20.10,0.468,0.384,0.99,0.368,0.418
Hangzhou,118.21-120.3,29.11-30.33,0.921,0.9555,0.8115,0.884,0.9025
Hebei,113.04-119.53,36.01-42.37,0.94,0.935,0.924,0.942,0.941
Heilongjiang,121.11-135.05,43.26-53.33,0.715333333,0.835,0.434,0.514333333,0.614833333
Henan,110.21-116.39,31.23-36.22,0.843,0.89,0.56,0.697,0.77
Huhehaote,110.46-112.10,40.51-41.80,0.6175,0.6325,0.3235,0.5505,0.584
Hunan,108.8-114.2,24.7-30.1,0.7175,0.861,0.3185,0.2905,0.504
Jiangsu,116.18-121.57,30.45-35.20,0.943,0.984,0.527,0.78,0.8615
Jilin,125.40-127.56,42.31-44.40,0.579,0.699,0.2975,0.4805,0.52975
Jinan,117,36.65,0.499,0.545,0.205,0.304,0.4015
Nanchang,115.27-116.35,28.10-28.11,0.62,0.642,0.373,0.583,0.6015
Nanjing,118.22-119.14,31.14-32.37,0.838,0.8495,0.4545,0.767,0.8025
Qingdao,119.30-121,35.35-37.09,0.918,0.806,0.792,0.414,0.666
Qinghai,89.35-103.04,31.36-39.19,0.143,0.14,0.116,0.092,0.1175
Shaanxi,105.29-111.15,31.42-39.35,0.993,0.99,0.993,0.992,0.9925
Shandong,116.18-124.56,34.25-38.23,0.942,0.941,0.786,0.886,0.914
Shanghai,121.29-122.12,31.14-31.53,0.705,0.6165,0.769,0.451,0.578
Shenzhen,113.46-114.37,22.24-22.52,0.6975,0.797,0.41,0.5515,0.6245
Shijiazhuang,113.30-115.20,38.02-38.59,0.824,0.792,0.5515,0.686,0.755
Sichuan,97.21-108.12,26.03-34.19,0.925,0.936,0.878,0.588,0.7565
Suzhou,119.28-121.10,31.18-32.18,0.656,0.732,0.509,0.571,0.6135
Taiyuan,111.30-113.09,37.27-38.25,0.843,0.972,0.556,0.181,0.512
Tianjin,117.30-117.46,38.44-39.13,0.88125,0.91125,0.66275,0.824,0.852625
Wuhan,113.41-115.05,29.58-31.22,0.8495,0.867,0.6635,0.8045,0.827
Wulumuqi,86.37-88.58,42.45-44.08,0.748,0.658,0.526,0.698,0.723
Xian,108.56,34.15,0.962,0.91,0.975,0.981,0.9715
Xining,101.49,36.43,0.776,0.997,0.364,0.186,0.481
Xinjiang,73.40-96.18,34.25-48.10,0.629,0.536,0.574,0.67,0.6495
Zhejiang,118.01-123.10,27.02-31.11,0.796,0.865,0.366,0.5635,0.67975
