y,x,corr,sig
resi_all_abs,duration,-0.161337327,0.192126478
resi_all_abs,num_positive,-0.382407283,0.001531205
resi_all_abs,season,-0.576338351,3.33E-07
resi_all_abs,gdp,0.264199743,0.030740381
resi_all_abs,gdp-2,0.298858054,0.014023908
resi_all_abs,gdp-3,0.248587532,0.042514722
resi_all_abs,pop,0.238166082,0.05228089
resi_all_abs,gdp_pop,0.096757778,0.436025581
resi_all_abs,pop_density,0.135808271,0.273164103
resi_all_abs,location geographic,0.046430524,0.70907447
resi_all_abs,location economic,0.153598119,0.214615357
resi_all_abs,energy_consumption,0.296351791,0.016528997
resi_all_abs,energy_intensity,-0.046805285,0.706832044
resi_all_abs,electri_consump_all,0.248791253,0.043971189
resi_all_abs,electri_consump_resi,0.231873782,0.06101599
resi_all_abs,electri_consump_service,0.191771832,0.145654357
resi_all_abs,electri_consump_indus,0.265604295,0.0311283
resi_all_abs,coal_consump,0.298962943,0.020319937
resi_all_abs,gas_consumption,0.235574279,0.067602729
resi_all_abs,oil_consumption,0.338922661,0.012177083
resi_all_abs,electri_produce,0.286583155,0.021683632
resi_all_abs,coal_produce,0.134189133,0.352851607
resi_all_abs,gas_produce,-0.047100277,0.772885622
resi_all_abs,electri_clean,0.189182177,0.213265406
resi_all_abs,industry_resi_all_abs,0.456317849,0.000104029
resi_all_abs,industry_resi_in_abs,0.376038954,0.001712387
resi_all_abs,industry_resi_after_abs,0.333127121,0.005876337
resi_all_abs,industry_extreme,0.453268278,0.000117245
resi_in_abs,duration,-0.167654635,0.175064987
resi_in_abs,num_positive,-0.434310645,0.000268916
resi_in_abs,season,-0.570264644,4.71E-07
resi_in_abs,gdp,0.245508288,0.045229253
resi_in_abs,gdp-2,0.292022706,0.016491806
resi_in_abs,gdp-3,0.208676056,0.090140919
resi_in_abs,pop,0.251078041,0.04041891
resi_in_abs,gdp_pop,0.011678513,0.92527045
resi_in_abs,pop_density,0.055457963,0.655782493
resi_in_abs,location geographic,0.095037163,0.444267309
resi_in_abs,location economic,0.12452056,0.315389337
resi_in_abs,energy_consumption,0.333752425,0.00658829
resi_in_abs,energy_intensity,0.05208261,0.675526013
resi_in_abs,electri_consump_all,0.270787891,0.027869193
resi_in_abs,electri_consump_resi,0.298334492,0.014971883
resi_in_abs,electri_consump_service,0.218227832,0.096823074
resi_in_abs,electri_consump_indus,0.314227565,0.010185647
resi_in_abs,coal_consump,0.341382093,0.007598232
resi_in_abs,gas_consumption,0.162757803,0.210112108
resi_in_abs,oil_consumption,0.231780193,0.091713547
resi_in_abs,electri_produce,0.266460549,0.033311089
resi_in_abs,coal_produce,0.202481081,0.158480755
resi_in_abs,gas_produce,-0.022725151,0.889302576
resi_in_abs,electri_clean,0.239100492,0.113686003
resi_in_abs,industry_resi_all_abs,0.466008181,7.06E-05
resi_in_abs,industry_resi_in_abs,0.373901244,0.001828223
resi_in_abs,industry_resi_after_abs,0.29102229,0.016882553
resi_in_abs,industry_extreme,0.46184162,8.35E-05
resi_after_abs,duration,-0.080113367,0.519281987
resi_after_abs,num_positive,-0.129612041,0.299625184
resi_after_abs,season,-0.411292301,0.000545036
resi_after_abs,gdp,0.151178823,0.222011153
resi_after_abs,gdp-2,0.126345012,0.308295021
resi_after_abs,gdp-3,0.184676521,0.134628511
resi_after_abs,pop,0.078713601,0.526631058
resi_after_abs,gdp_pop,0.228275432,0.063173927
resi_after_abs,pop_density,0.221368278,0.07181563
resi_after_abs,location geographic,-0.029940999,0.809927604
resi_after_abs,location economic,0.280867194,0.021318972
resi_after_abs,energy_consumption,0.164544111,0.190261867
