,unit_weights
Anhui,5.2935246346759867e-11
Chongqing,9.585798244429737e-12
Fujian,3.862370723209534e-10
Gansu,3.794245653106966e-11
Guangdong,1.8386134146819468e-11
Guangxi,5.199348539203446e-12
Guizhou,5.166736683975668e-12
Hainan,1.2118155281612291e-11
Hebei,0.08411804909504736
Henan,7.54641759853401e-11
Hubei,1.9352907337512755e-11
Hunan,1.3267857452640159e-11
Inner Mongolia,5.7852912953293693e-11
Jiangsu,5.959340370893541e-11
Jiangxi,2.597014768738378e-11
Jilin,7.151294611966122e-11
Liaoning,9.680585478869433e-11
Ningxia,2.6640863888423894e-11
Qinghai,1.887336742637577e-12
Shaanxi,2.087125775077974e-11
Shandong,0.001444179735875675
Shanxi,4.800012429161344e-10
Sichuan,7.40707506862723e-12
Tianjin,0.07235815726612284
Xinjiang,3.5247734741351127e-09
Yunnan,8.354920675108498e-12
Zhejiang,2.2324654430596224e-11
Beijing 1,0.28564570998299493
Anyang,7.449822625777605e-11
Beihai,4.125626530602467e-12
Chengdu,7.072428790126644e-12
Chengdu 1,7.072428790126644e-12
Chongqing 1,9.585798244429737e-12
Fujian 1,3.862906149212947e-10
Gansu 1,3.794245653106966e-11
Guangan,7.87371697960033e-12
Guangzhou,1.8133883205485034e-11
Guangzhou 1,1.8133883205485034e-11
Guangzhou 2,1.8133883205485034e-11
Guiyang,4.55963480853422e-12
Haerbin,2.1874530480911533e-11
Haerbin 1,2.1874530480911533e-11
Hangzhou,2.1890735493261195e-11
Hangzhou 1,2.1890735493261195e-11
Huhehaote,5.7370374428660194e-11
Huhehaote 1,5.7370374428660194e-11
Hunan 1,1.3267857452640159e-11
Jilin 1,7.151294611966122e-11
Jinan,0.0014439982860059335
Langfang,0.08411772442564121
Nanchang,2.5126217380698815e-11
Nanjing,5.921137266634374e-11
Nanjing 1,5.921137266634374e-11
Qingdao,0.0014440260316958388
Quanzhou,3.85697305123633e-10
Shenzhen,1.811698246218025e-11
Shenzhen 1,1.811698246218025e-11
Shijiazhuang,0.08411785007215694
Shijiazhuang 1,0.08411785007215694
Suuzhou,5.144991692470888e-11
Suzhou,5.940948685096527e-11
Taiyuan,4.79521428438445e-10
Tangshan,0.08411797603780152
Tianjin 1,0.07235815726612284
Tianjin 2,0.07235815726612284
Tianjin 3,0.07235815726612284
Xian,2.0517758401628566e-11
Xining,2.1177157523408322e-12
Zhejiang 1,2.2407063731381046e-11
Zhengzhou,7.5064445048657e-11
