,unit_weights
Anhui,0.014285712728887791
Beijing,0.014285714001892637
Chongqing,0.014285718811485361
Fujian,0.014285716602963584
Guangdong,0.014285717523659529
Guangxi,0.014285717724034062
Guizhou,0.014285720140158175
Hebei,0.014285715672075695
Henan,0.014285713617472651
Hubei,0.014285718734178311
Hunan,0.014285716796948154
Inner Mongolia,0.014285711231773817
Jiangsu,0.014285712996510795
Jiangxi,0.014285718009129993
Jilin,0.014285718980100249
Liaoning,0.014285717469386984
Ningxia,0.014285716099195732
Shaanxi,0.01428571490651701
Shandong,0.01428571037040566
Shanghai,0.014285718558588506
Shanxi,0.014285712651284607
Sichuan,0.014285718300582598
Tianjin,0.014285718229060714
Yunnan,0.01428571722714219
Zhejiang,0.014285714893136148
Beijing 1,0.014285714001892637
Anyang,0.014285705372894683
Beijing 2,0.014285714001892637
Beijing 3,0.014285714001892637
Chengdu,0.014285708221595465
Chongqing 1,0.014285718811485361
Dalian,0.01428571257804427
Dalian 1,0.014285712489379005
Fujian 1,0.014285715534516552
Guangan,0.014285684971969352
Guangzhou,0.014285718723407573
Guangzhou 1,0.014285718723407573
Guangzhou 2,0.014285718723407573
Haerbin,0.014285696539877128
Haerbin 1,0.014285696539877128
Hangzhou,0.014285718530958861
Hangzhou 1,0.014285718530958861
Huhehaote,0.014285719110814795
Huhehaote 1,0.014285719110814795
Hunan 1,0.014285716796948154
Jilin 1,0.014285718980100249
Jinan,0.014285716174623209
Langfang,0.014285713223313517
Nanchang,0.014285698985650262
Nanjing,0.014285718551802835
Nanjing 1,0.014285718551802835
Qingdao,0.014285717381098526
Quanzhou,0.014285716875698021
Shanghai 1,0.014285718558588506
Shijiazhuang,0.014285717865702397
Shijiazhuang 1,0.014285717865702397
Suuzhou,0.014285688764336649
Suzhou,0.014285716967101991
Taiyuan,0.014285718058219035
Tangshan,0.014285718492287486
Tianjin 1,0.014285718229060714
Tianjin 2,0.014285718229060714
Tianjin 3,0.014285718229060714
Wuhan,0.014285718821761476
Wuhan 1,0.014285718821761476
Wulumuqi,0.01428571254979681
Xian,0.014285718805999735
Xining,0.014285685756637145
Zhejiang 1,0.014285713019064535
Zhengzhou,0.014285718649161417
