,unit_weights
Anhui,0.011043262982757077
Beijing,0.038261117235034434
Chongqing,9.698677808953214e-11
Fujian,4.185240571060473e-11
Gansu,0.03937726825282798
Guangdong,3.192703009208023e-11
Guangxi,5.717217599242023e-10
Guizhou,0.04119479857151045
Hainan,0.008030026154474346
Hebei,1.469756037200306e-10
Henan,6.35743545154394e-11
Hubei,6.57310788425506e-11
Hunan,2.7391282035701156e-11
Inner Mongolia,0.02107074716865583
Jiangsu,4.93913714604286e-10
Jiangxi,2.030543006131634e-10
Jilin,0.11610721533897393
Liaoning,3.1404417903824914e-10
Ningxia,0.03194048766484247
Shaanxi,0.00728322699671548
Shandong,2.58841071444521e-10
Shanghai,4.819083818676835e-11
Shanxi,2.0689616133428176e-10
Sichuan,1.656150661970021e-11
Tianjin,5.6280638184463757e-11
Xinjiang,0.017307054954732386
Yunnan,0.008757670032100998
Zhejiang,7.878286095886983e-11
Beijing 1,0.038261117235034434
Anyang,6.301654795436962e-11
Beihai,5.72086589512208e-10
Beijing 2,0.038261117235034434
Beijing 3,0.038261117235034434
Chengdu,1.6181387581096612e-11
Chengdu 1,1.6181387581096612e-11
Chongqing 1,9.698677808953214e-11
Dalian,3.137718199732749e-10
Dalian 1,3.137711215595509e-10
Fujian 1,4.188786626111959e-11
Gansu 1,0.03937726825282798
Guangan,1.6504919229252694e-11
Guiyang,0.04119474215078608
Haerbin,0.1079818572388259
Hangzhou,7.852916988026528e-11
Hangzhou 1,7.852916988026528e-11
Hunan 1,2.7391282035701156e-11
Jilin 1,0.11610721533897393
Jinan,2.583675451648525e-10
Langfang,1.466092977156813e-10
Nanchang,2.0269215076745304e-10
Nanjing,4.935451293736764e-10
Nanjing 1,4.935451293736764e-10
Qingdao,2.583999678847976e-10
Quanzhou,4.15950057533967e-11
Shanghai 1,4.819083818676835e-11
Shijiazhuang,1.467069294364872e-10
Shijiazhuang 1,1.467069294364872e-10
Suuzhou,0.011043261533405405
Suzhou,4.9369911612296e-10
Taiyuan,2.0655121243968217e-10
Tangshan,1.468454044725789e-10
Tianjin 1,5.6280638184463757e-11
Tianjin 2,5.6280638184463757e-11
Tianjin 3,5.6280638184463757e-11
Wuhan,6.5700657980457e-11
Wuhan 1,6.5700657980457e-11
Wulumuqi,0.017307044544085878
Xian,0.007283228849615384
Xining,0.20454914715037342
Zhejiang 1,7.883509710606875e-11
Zhengzhou,6.33038267549905e-11
