,unit_weights
Anhui,1.923643374654767e-10
Beijing,0.05604673837225018
Chongqing,1.935548651430491e-11
Fujian,2.294075181947419e-11
Guangdong,4.7106414041955425e-11
Guangxi,1.3794171136493973e-10
Guizhou,2.7377310780084866e-11
Hebei,0.039878165582355365
Henan,0.03136363390402453
Hubei,5.162368993430743e-11
Hunan,2.0371185594165306e-11
Inner Mongolia,0.02820300958668375
Jiangsu,0.0025470292034841125
Jiangxi,2.570936225823176e-11
Jilin,1.645245920938606e-10
Liaoning,0.020296119648018522
Ningxia,0.012279404499494386
Shaanxi,0.011067333569783618
Shandong,0.04203850580107004
Shanghai,1.902303234635137e-11
Shanxi,0.004956957570437362
Sichuan,1.8706557486921217e-11
Tianjin,0.004896672085719742
Yunnan,0.010960831600685188
Zhejiang,2.8895926044236093e-11
Beijing 1,0.05604673837225018
Anyang,0.03136366550705634
Beijing 2,0.05604673837225018
Beijing 3,0.05604673837225018
Chongqing 1,1.935548651430491e-11
Dalian,0.020296152344290264
Dalian 1,0.020296152527331784
Fujian 1,2.297214196826666e-11
Guangan,1.8394290048238926e-11
Guangzhou,4.698344218123295e-11
Guangzhou 1,4.698344218123295e-11
Guangzhou 2,4.698344218123295e-11
Haerbin,0.01264000275471525
Haerbin 1,0.01264000275471525
Hangzhou,2.868131332929857e-11
Hangzhou 1,2.868131332929857e-11
Huhehaote,0.028203025366825403
Huhehaote 1,0.028203025366825403
Hunan 1,2.0371185594165306e-11
Jilin 1,1.645245920938606e-10
Jinan,0.04203853840041444
Langfang,0.03987817348718399
Nanchang,2.526548968340655e-11
Nanjing,0.0025470603257290994
Nanjing 1,0.0025470603257290994
Qingdao,0.0420385405199403
Quanzhou,2.2703069819553953e-11
Shanghai 1,1.902303234635137e-11
Shijiazhuang,0.039878180225174385
Shijiazhuang 1,0.039878180225174385
Suzhou,0.0025470424464254368
Taiyuan,0.004956994874147986
Tangshan,0.039878177115685864
Tianjin 1,0.004896672085719742
Tianjin 2,0.004896672085719742
Tianjin 3,0.004896672085719742
Wuhan,5.159910400706799e-11
Wuhan 1,5.159910400706799e-11
Wulumuqi,0.033421130194929725
Xian,0.011067357018941642
Xining,0.06695324959319975
Zhejiang 1,2.8938274206571257e-11
Zhengzhou,0.03136365440863378
