date,time_weights
2022-01-26,-6.541920762163122e-22
2022-01-27,-7.20005672808141e-22
2022-01-28,-8.047767797770646e-22
2022-01-29,-7.329710364087139e-22
2022-01-30,-8.00860597243112e-22
2022-01-31,-7.72736816053513e-22
2022-02-01,-8.654735133339443e-22
2022-02-02,-8.617489129989111e-22
2022-02-03,-8.12293382365807e-22
2022-02-04,-7.404117243873865e-22
2022-02-05,-8.384655337475073e-22
2022-02-06,-7.297910998344785e-22
2022-02-07,-7.81301240816175e-22
2022-02-08,-7.830573675843843e-22
2022-02-09,-7.61091914311036e-22
2022-02-10,-7.952816018288427e-22
2022-02-11,-8.337765194555106e-22
2022-02-12,-7.534453478647243e-22
2022-02-13,-8.383844531149186e-22
2022-02-14,-8.208659342457935e-22
2022-02-15,-7.357690988204145e-22
2022-02-16,-7.206232318904808e-22
2022-02-17,-8.229853499739917e-22
2022-02-18,-7.924520088403497e-22
2022-02-19,-6.849260602582796e-22
2022-02-20,-6.892753057970233e-22
2022-02-21,-7.875249972166152e-22
2022-02-22,-6.788205309998886e-22
2022-02-23,-6.955543608347949e-22
2022-02-24,-7.727520478162041e-22
2022-02-25,-7.154225574998928e-22
2022-02-26,-7.312471705682602e-22
2022-02-27,-7.432495336825007e-22
2022-02-28,-7.0398226500089e-22
2022-03-01,0.9999999999999993
