,unit_weights
Gansu,8.790167687050125e-10
Guangdong,0.01962531861079241
Hainan,0.02967526442339227
Hubei,7.565425484056777e-10
Jiangxi,0.012819543131716887
Jilin,0.016801996624666762
Liaoning,0.026605719988578285
Ningxia,0.012266850495973498
Qinghai,3.651576957882912e-10
Shanxi,0.023367450861170574
Xinjiang,0.026317292313268674
Yunnan,1.3661162428611165e-10
Beijing 1,0.017535459264492223
Anyang,0.015510016717446447
Beihai,0.07131976377149464
Beijing 2,0.017535459264492226
Chengdu,9.901560567623616e-11
Chengdu 1,9.901560567623538e-11
Dalian,0.026605863472533783
Dalian 1,0.026605863643208025
Gansu 1,8.79016768705014e-10
Guangan,1.0228850741941512e-10
Guangzhou,0.01962543006070773
Guangzhou 1,0.019625430060707726
Guangzhou 2,0.019625430060707726
Guiyang,1.1939655275519663e-09
Haerbin,0.023442146979989763
Haerbin 1,0.02344214697998976
Hangzhou,8.194977083323277e-10
Hangzhou 1,8.194977083323474e-10
Huhehaote,0.05520709885087907
Huhehaote 1,0.05520709885087907
Jilin 1,0.016801996624666766
Jinan,0.04106842527064699
Langfang,0.03837219328191011
Nanchang,0.01281966047144775
Nanjing,0.021987339701984864
Nanjing 1,0.021987339701984864
Qingdao,0.041068421482930835
Quanzhou,0.00286098096917103
Shenzhen,0.019625432977217225
Shenzhen 1,0.019625432977217222
Shijiazhuang,0.038372178982985485
Shijiazhuang 1,0.038372178982985485
Suuzhou,0.001169686648808154
Suzhou,0.021987230020190048
Taiyuan,0.023367751111181955
Tangshan,0.03837215689392654
Wulumuqi,0.026317548050436918
Xian,0.0015473619657371883
Xining,3.6600398210680004e-10
Zhengzhou,0.015510032942159503
