,unit_weights
Anhui,0.015514471401013767
Beijing,0.006984788026761694
Chongqing,3.871113414584885e-09
Fujian,0.01795390743187853
Gansu,0.004836151542473683
Guangdong,0.016703378072832686
Guangxi,0.010114734754058278
Guizhou,0.006825315326956591
Hainan,0.018153254653906777
Hebei,0.015958233727939104
Heilongjiang,0.018021457234571322
Henan,0.015789080408163493
Hubei,0.0076105008316508386
Hunan,0.006493541182123739
Inner Mongolia,0.018702948731207474
Jiangsu,0.016012320511632594
Jiangxi,0.01731479967413604
Liaoning,0.016613124245581434
Ningxia,0.015308724991672502
Qinghai,1.8057518704494543e-09
Shaanxi,0.013678186986387167
Shandong,0.01998116312867361
Shanghai,0.007606757295791425
Shanxi,0.017965118666610567
Sichuan,5.220756131172852e-10
Tianjin,0.016833389685285992
Xinjiang,0.013650893067972222
Yunnan,1.8843536601471458e-10
Beijing 1,0.006984788026761694
Anyang,0.015789090233232862
Beihai,0.010114842588144537
Beijing 2,0.006984788026761696
Beijing 3,0.006984788026761694
Chengdu,5.211993172465457e-10
Chengdu 1,5.211993172465457e-10
Chongqing 1,3.8711134145848735e-09
Dalian,0.016613127560822307
Dalian 1,0.01661312758077254
Fujian 1,0.017953907232316418
Gansu 1,0.004836151542473683
Guangan,5.222587536835376e-10
Guangzhou,0.016703380150853767
Guangzhou 1,0.016703380150853767
Guangzhou 2,0.016703380150853767
Guiyang,0.006825339231300891
Haerbin,0.018021459061896974
Haerbin 1,0.018021459061896974
Hangzhou,0.017551594005052455
Hangzhou 1,0.017551594005052455
Heilongjiang 1,0.018021456335522965
Heilongjiang 2,0.018021456335522965
Huhehaote,0.018702949517743313
Huhehaote 1,0.018702949517743313
Hunan 1,0.00649354118212374
Jinan,0.01998116289903616
Langfang,0.015958238685973358
Nanchang,0.017314804597137242
Nanjing,0.0160123230493557
Nanjing 1,0.0160123230493557
Qingdao,0.01998116291961779
Quanzhou,0.01795391000647094
Shanghai 1,0.007606757295791425
Shenzhen,0.016703380317929062
Shenzhen 1,0.016703380317929062
Shijiazhuang,0.015958236732810906
Suuzhou,0.015514488125346127
Suzhou,0.016012321470804194
Taiyuan,0.017965120469449324
Tangshan,0.015958234809812163
Tianjin 1,0.016833389685285992
Tianjin 2,0.016833389685285992
Tianjin 3,0.016833389685285992
Wuhan,0.007610502580171704
Wuhan 1,0.007610502580171704
Wulumuqi,0.013650901550031675
Xian,0.013678190734824769
Xining,1.8061092061627812e-09
Zhengzhou,0.015789084019312578
