,unit_weights
Gansu,0.0023241794574423635
Guangdong,2.776965407952824e-10
Hainan,5.103686361585993e-09
Hubei,0.015898150817675014
Jiangxi,4.588738819422438e-10
Jilin,4.6514186055165773e-10
Liaoning,3.1290026149596347e-10
Ningxia,1.1100142585884512e-09
Qinghai,0.05589389828934675
Shanxi,2.667660202015401e-10
Xinjiang,3.1176286480108846e-10
Yunnan,0.03574604805770824
Beijing 1,2.2159404085912975e-10
Anyang,6.205883585083656e-10
Beihai,9.054552790510299e-11
Beijing 2,2.215940408591295e-10
Chengdu,0.2773119730356197
Chengdu 1,0.2773119730356197
Dalian,3.1135147602605703e-10
Dalian 1,3.113445837211833e-10
Gansu 1,0.0023241794574423644
Guangan,0.2772955358539357
Guangzhou,2.767864920102258e-10
Guangzhou 1,2.7678649201022354e-10
Guangzhou 2,2.7678649201022457e-10
Guiyang,1.2366647304890895e-09
Haerbin,2.3689302648438127e-10
Haerbin 1,2.3689302648438086e-10
Hangzhou,8.749138604620914e-09
Hangzhou 1,8.749138604620618e-09
Huhehaote,1.3880786501645033e-10
Huhehaote 1,1.3880786501647567e-10
Jilin 1,4.6514186055165913e-10
Jinan,1.7342896540029698e-10
Langfang,2.0217065278256598e-10
Nanchang,4.5630550755362544e-10
Nanjing,2.6093730894691134e-10
Nanjing 1,2.6093730894688745e-10
Qingdao,1.7363922479007768e-10
Quanzhou,8.046193948005112e-10
Shenzhen,2.7672593955684806e-10
Shenzhen 1,2.767259395568478e-10
Shijiazhuang,2.027909074885854e-10
Shijiazhuang 1,2.027909074885854e-10
Suuzhou,1.244340740061004e-09
Suzhou,2.6166217051053743e-10
Taiyuan,2.6484632248367355e-10
Tangshan,2.0358265753999892e-10
Wulumuqi,3.093305159157467e-10
Xian,3.7850976169831883e-10
Xining,0.05589402455299549
Zhengzhou,6.223622831253025e-10
