,unit_weights
Anhui,0.010173705966789355
Beijing,0.03982625684534169
Chongqing,1.210594899819461e-10
Fujian,1.4661904067641769e-10
Guangdong,5.783546629807769e-10
Guangxi,0.004986317753463829
Guizhou,1.497951853549268e-10
Hebei,0.029821581672516886
Henan,0.029644982649156604
Hubei,0.00016346391438317001
Hunan,1.299096481949707e-10
Inner Mongolia,0.024788188403075635
Jiangsu,0.014904949463580614
Jiangxi,1.6205057588053516e-10
Jilin,0.007877446722746349
Liaoning,0.022934454706573983
Ningxia,0.01624008354088581
Shaanxi,0.017735269815054647
Shandong,0.030577161793632457
Shanghai,1.2554242497308415e-10
Shanxi,0.015912152798678327
Sichuan,1.1100535192012089e-10
Tianjin,0.01582204390426881
Yunnan,0.013400428134613517
Zhejiang,1.963052814588109e-10
Beijing 1,0.03982625684534169
Anyang,0.029644972492321196
Beijing 2,0.03982625684534169
Beijing 3,0.03982625684534169
Chongqing 1,1.210594899819461e-10
Dalian,0.022934456639860646
Dalian 1,0.022934456655604632
Fujian 1,1.4664670788325356e-10
Guangan,1.1077430677767654e-10
Guangzhou,5.782418040472961e-10
Guangzhou 1,5.782418040472961e-10
Guangzhou 2,5.782418040472961e-10
Haerbin,0.01744467926221913
Haerbin 1,0.01744467926221913
Hangzhou,1.9611894380314205e-10
Hangzhou 1,1.9611894380314205e-10
Heilongjiang 1,0.01744466464375061
Huhehaote,0.02478818823898237
Huhehaote 1,0.02478818823898237
Hunan 1,1.299096481949707e-10
Jilin 1,0.007877446722746349
Jinan,0.030577157138801783
Langfang,0.029821575116526725
Nanchang,1.6176419037174228e-10
Nanjing,0.014904954309396673
Nanjing 1,0.014904954309396673
Qingdao,0.03057715829435277
Quanzhou,1.4643277528465656e-10
Shanghai 1,1.2554242497308415e-10
Shijiazhuang,0.02982157837401081
Shijiazhuang 1,0.02982157837401081
Suzhou,0.01490495118976828
Taiyuan,0.015912158902905666
Tangshan,0.029821580916793905
Tianjin 1,0.01582204390426881
Tianjin 2,0.01582204390426881
Tianjin 3,0.01582204390426881
Wuhan,0.00016346660143743737
Wuhan 1,0.00016346660143743737
Wulumuqi,0.02686119156071098
Xian,0.01773527290691065
Xining,0.03730884719762789
Zhejiang 1,1.9634723081985912e-10
Zhengzhou,0.02964498072953833
